Torkoal,Base,_S,Special Attacker;Sun weather setter;Sun weather synergy;Needs Speed Control
Kyogre,Base,__S+,Special Attacker;Rain weather setter;Rain weather synergy
Groudon,Base,__S+,Physical Attacker;Sun weather setter;Sun weather synergy
Groudon,Primal,__S+,Physical Attacker;Sun weather setter;Sun weather synergy
Kyogre,Primal,__S+,Special Attacker;Rain weather setter;Rain weather synergy
Rayquaza,Base,__S+,Physical Attacker;Special Attacker
Rayquaza,Mega,__S+,Physical Attacker;Special Attacker
Dialga,Origin,__S+,Special Attacker;Defensive
Palkia,Origin,__S+,Special Attacker
Cresselia,Base,_S,Support;Defensive;Has Speed Control
Whimsicott,Base,_S,Support;Has Speed Control
Gothitelle,Base,_A,Support;Defensive;Needs Speed Control
Amoonguss,Base,__S+,Support;Defensive;Needs Speed Control
Hydreigon,Base,_S,Special Attacker
Volcarona,Base,__S+,Special Attacker;Stat Boosting Setup
Thundurus,Incarnate Forme,_S,Support;Special Attacker;Has Speed Control
Landorus,Therian Forme,_S,Physical Attacker
Kyurem,White,_A,Special Attacker
Kyurem,Black,_A,Physical Attacker
Greninja,Ash Form,__S+,Special Attacker;Has Speed Control
Talonflame,Base,__S+,Physical Attacker;Support;Has Speed Control
Aegislash,Shield Forme,_S,Physical Attacker;Special Attacker;Defensive
Sylveon,Base,_S,Special Attacker;Support
Xerneas,Base,__S+,Special Attacker;Stat Boosting Setup
Yveltal,Base,__S+,Special Attacker
Zygarde,50% Forme,_A,Physical Attacker
Zygarde,Complete Forme,_S,Physical Attacker;Defensive
Incineroar,Base,__S+,Support;Physical Attacker;Has Speed Control
Oranguru,Base,_A,Support;Has Speed Control
Tapu Koko,Base,__S+,Support;Special Attacker;Has Speed Control
Tapu Lele,Base,__S+,Special Attacker
Tapu Fini,Base,__S+,Support;Defensive
Kartana,Base,__S+,Physical Attacker
Necrozma,Dusk Mane,__S+,Physical Attacker;Defensive
Necrozma,Ultra,__S+,Physical Attacker;Special Attacker;Has Speed Control
Magearna,Base,__S+,Special Attacker;Support
Rillaboom,Base,__S+,Support;Physical Attacker
Hatterene,Base,__S+,Special Attacker;Has Speed Control
Hatterene,Gigantamax,__S+,Special Attacker;Needs Speed Control
Grimmsnarl,Base,__S+,Support
Grimmsnarl,Gigantamax,__S+,Support;Physical Attacker
Indeedee,Male,__S+,Support;Special Attacker
Indeedee,Female,__S+,Support;Defensive
Dracovish,Base,__S+,Physical Attacker
Dragapult,Base,__S+,Physical Attacker;Special Attacker;Has Speed Control
Zacian,Hero of Many Battles,__S+,Physical Attacker
Zacian,Crowned Sword,__S+,Physical Attacker
Eternatus,Base,__S+,Special Attacker
Eternatus,Eternamax,__S+,Special Attacker;Defensive
Urshifu,Single Strike Style,__S+,Physical Attacker
Urshifu,Rapid Strike Style,__S+,Physical Attacker;Rain weather synergy
Regieleki,Base,__S+,Support;Special Attacker;Has Speed Control
Spectrier,Base,__S+,Special Attacker
Calyrex,Ice Rider,__S+,Physical Attacker;Has Speed Control
Calyrex,Shadow Rider,__S+,Special Attacker
Ursaluna,Base,__S+,Physical Attacker;Needs Speed Control
Ursaluna,Bloodmoon Form,__S+,Special Attacker;Needs Speed Control
Sneasler,Base,__S+,Physical Attacker
Enamorus,Therian Forme,__S+,Special Attacker;Has Speed Control
Palafin,Hero Form,__S+,Physical Attacker
Annihilape,Base,__S+,Physical Attacker;Stat Boosting Setup
Kingambit,Base,__S+,Physical Attacker;Stat Boosting Setup
Flutter Mane,Base,__S+,Special Attacker;Has Speed Control
Iron Bundle,Base,__S+,Special Attacker;Has Speed Control
Iron Hands,Base,__S+,Physical Attacker;Support
Chien-Pao,Base,__S+,Physical Attacker;Has Speed Control
Ting-Lu,Base,__S+,Defensive;Support
Chi-Yu,Base,__S+,Special Attacker
Roaring Moon,Base,__S+,Physical Attacker;Has Speed Control
Iron Valiant,Base,__S+,Physical Attacker;Special Attacker;Has Speed Control
Koraidon,Base,__S+,Physical Attacker;Sun weather setter;Sun weather synergy
Miraidon,Base,__S+,Special Attacker;Electric Terrain setter
Ogerpon,Teal Mask,__S+,Physical Attacker;Support
Ogerpon,Wellspring Mask,__S+,Physical Attacker;Rain weather synergy
Ogerpon,Hearthflame Mask,__S+,Physical Attacker;Sun weather synergy
Ogerpon,Cornerstone Mask,__S+,Physical Attacker;Defensive
Terapagos,Base,__S+,Support;Defensive
Terapagos,Terastal Form,__S+,Special Attacker;Defensive
Greninja,Mega,__S+,Special Attacker;Physical Attacker;Has Speed Control
Dragonite,Mega,__S+,Physical Attacker;Defensive;Stat Boosting Setup
Zygarde,Mega,__S+,Physical Attacker;Defensive;Has Speed Control
Lucario,Mega Z,__S+,Physical Attacker;Support;Has Speed Control
Zeraora,Mega,__S+,Physical Attacker;Has Speed Control
Magearna,Mega,__S+,Special Attacker;Support
Dragonite,Base,_S,Physical Attacker;Has Speed Control;Stat Boosting Setup
Murkrow,Base,_S,Support;Has Speed Control
Porygon2,Base,_S,Support;Defensive;Needs Speed Control
Salamence,Base,_S,Physical Attacker;Has Speed Control
Metagross,Mega,_S,Physical Attacker;Defensive
Garchomp,Base,_S,Physical Attacker
Togekiss,Base,_S,Support;Special Attacker;Has Speed Control
Rotom,Wash,_S,Support;Special Attacker
Dialga,Base,_S,Special Attacker;Defensive
Palkia,Base,_S,Special Attacker
Heatran,Base,_S,Special Attacker;Defensive;Sun weather synergy
Arceus,Normal,_S,Physical Attacker;Special Attacker;Support
Excadrill,Base,_S,Physical Attacker;Sand weather synergy
Conkeldurr,Base,_S,Physical Attacker;Needs Speed Control
Darmanitan,Galarian,_S,Physical Attacker
Scrafty,Base,_S,Physical Attacker;Support;Needs Speed Control
Chandelure,Base,_S,Special Attacker;Needs Speed Control
Mienshao,Base,_S,Physical Attacker;Support;Has Speed Control
Bisharp,Base,_S,Physical Attacker
Reshiram,Base,_S,Special Attacker;Sun weather synergy
Zekrom,Base,_S,Physical Attacker
Greninja,Base,_S,Special Attacker;Physical Attacker;Has Speed Control
Klefki,Base,_S,Support;Has Speed Control
Diancie,Mega,_S,Special Attacker
Hoopa,Unbound,_S,Physical Attacker;Special Attacker
Primarina,Base,_S,Special Attacker;Needs Speed Control
Ribombee,Base,_S,Support;Has Speed Control
Mudsdale,Base,_S,Physical Attacker;Defensive;Needs Speed Control
Comfey,Base,_S,Support
Mimikyu,Base,_S,Physical Attacker;Support
Kommo-o,Base,_S,Physical Attacker;Special Attacker;Stat Boosting Setup
Solgaleo,Base,_S,Physical Attacker
Lunala,Base,_S,Special Attacker
Pheromosa,Base,_S,Physical Attacker;Special Attacker;Has Speed Control
Celesteela,Base,_S,Defensive;Support
Necrozma,Dawn Wings,_S,Special Attacker
Marshadow,Base,_S,Physical Attacker;Has Speed Control
Naganadel,Base,_S,Special Attacker;Has Speed Control
Stakataka,Base,_S,Physical Attacker;Defensive;Needs Speed Control
